POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,11,16,55,44,63,4,31,5,14,22,47,3,18,24,20,10,77,23,6
LAP 1,1,11,16,44,55,4,63,31,5,14,22,18,47,3,24,20,23,10,6,77
LAP 2,1,11,16,44,55,4,63,31,5,14,22,18,3,47,24,23,20,10,6,77
LAP 3,1,11,16,44,55,4,63,31,5,14,22,18,3,47,24,23,10,20,6,77
LAP 4,1,11,16,55,44,4,63,31,5,14,22,18,3,24,47,23,10,20,6,77
LAP 5,1,11,16,44,55,63,4,31,5,14,22,18,3,24,23,47,10,20,6,77
LAP 6,1,11,16,44,55,63,4,31,5,14,22,18,3,24,23,47,10,20,6,77
LAP 7,1,11,16,44,55,63,4,31,5,14,22,18,3,24,23,47,10,20,6,77
LAP 8,1,11,16,55,44,63,4,31,5,14,22,18,3,24,23,47,10,20,6,77
LAP 9,1,11,16,55,63,44,4,31,5,14,22,18,3,24,23,47,10,20,77,6
LAP 10,1,11,16,55,63,44,4,31,5,14,22,18,3,24,23,47,10,20,77,6
LAP 11,1,11,16,55,63,44,4,31,5,14,22,18,3,24,23,47,10,20,77,6
LAP 12,1,11,16,55,63,44,4,31,5,14,22,18,3,24,47,23,10,20,77,6
LAP 13,1,11,16,55,63,44,4,31,5,14,22,3,18,24,47,10,20,77,6,23
LAP 14,1,11,16,55,63,44,4,5,14,31,22,3,24,47,20,77,10,6,18,23
LAP 15,1,16,11,55,63,44,4,5,14,3,24,20,77,31,18,22,6,23,47,10
LAP 16,1,16,55,44,5,11,14,3,63,20,77,4,31,18,22,23,24,47,10,6
LAP 17,1,16,55,44,11,5,14,3,63,20,4,77,31,18,22,23,24,47,10,6
LAP 18,1,16,44,11,5,14,55,63,3,4,20,77,31,18,22,23,24,47,10,6
LAP 19,1,16,11,5,55,63,14,3,44,4,31,20,77,18,22,23,24,47,10,6
LAP 20,1,16,11,55,5,63,44,4,31,77,18,20,22,14,23,24,47,3,10,6
LAP 21,16,1,11,55,63,5,44,4,31,18,77,22,20,14,23,24,47,3,10,6
LAP 22,1,11,16,55,63,5,44,4,31,18,77,22,14,20,23,24,47,3,10,6
LAP 23,1,11,16,55,63,44,5,4,31,18,22,14,77,23,20,24,3,47,10,6
LAP 24,1,11,16,55,63,44,4,5,31,18,14,22,77,23,24,20,3,47,10,6
LAP 25,1,11,16,55,63,44,4,31,5,18,14,22,23,77,24,3,47,20,10,6
LAP 26,1,11,16,55,63,44,4,31,18,14,22,23,24,77,3,47,10,20,5,6
LAP 27,1,11,16,55,63,44,4,31,18,14,22,23,24,3,77,47,10,5,20,6
LAP 28,1,11,16,55,63,44,4,31,18,22,23,24,3,47,77,5,10,20,6,
LAP 29,1,11,16,55,63,44,4,31,18,22,23,24,3,47,77,5,10,6,20,
LAP 30,1,11,16,55,63,44,4,31,18,22,23,3,24,47,5,10,77,6,20,
LAP 31,1,11,16,55,63,44,4,31,18,22,23,3,24,47,5,10,6,77,20,
LAP 32,1,11,16,55,63,44,4,31,18,22,23,3,24,47,5,10,6,77,20,
LAP 33,1,16,11,55,63,44,4,31,18,22,23,3,24,47,5,10,6,77,20,
LAP 34,1,16,55,63,44,11,4,31,18,22,23,3,24,5,47,10,6,77,20,
LAP 35,1,16,55,63,44,11,4,31,18,22,3,23,24,5,10,6,47,77,20,
LAP 36,1,16,55,63,44,11,4,31,18,22,3,24,5,10,23,6,47,77,20,
LAP 37,1,16,55,63,44,11,4,31,18,22,3,24,5,10,23,6,47,77,20,
LAP 38,1,16,55,63,44,11,4,31,18,22,3,24,5,10,23,77,47,20,6,
LAP 39,1,16,55,44,63,11,4,31,18,3,24,5,10,22,23,47,77,20,6,
LAP 40,1,16,44,11,55,4,31,63,18,3,24,5,10,22,23,47,77,20,6,
LAP 41,1,16,44,11,55,4,63,31,3,24,5,18,10,22,23,47,77,20,6,
LAP 42,1,16,44,11,55,4,63,3,31,24,5,18,10,22,23,47,77,20,6,
LAP 43,1,16,44,11,55,63,4,31,3,5,24,18,22,10,23,47,77,20,6,
LAP 44,1,16,44,11,55,63,4,31,3,5,18,22,24,10,23,47,77,20,6,
LAP 45,1,16,44,11,55,63,4,31,3,5,18,22,10,23,47,24,77,20,6,
LAP 46,1,16,11,44,55,63,4,31,3,5,18,22,23,10,47,24,77,20,6,
LAP 47,1,16,11,44,55,63,4,31,3,5,18,22,23,10,47,24,77,20,6,
LAP 48,1,16,11,44,55,63,4,31,3,18,5,22,23,10,24,47,77,20,6,
LAP 49,1,16,11,44,55,63,4,31,3,18,5,22,23,10,24,47,77,20,6,
LAP 50,1,16,11,44,55,63,4,31,18,3,5,22,23,10,24,47,77,20,6,
LAP 51,1,16,11,44,55,63,4,31,18,3,5,22,23,10,24,47,77,20,6,
LAP 52,1,16,11,44,55,63,4,31,18,3,5,22,23,10,24,47,77,20,6,
LAP 53,1,16,11,44,55,63,4,31,18,3,5,22,23,10,24,77,47,20,6,
LAP 54,1,16,11,44,55,63,4,31,18,3,5,22,23,10,24,77,47,20,6,
LAP 55,1,16,11,55,63,4,31,44,18,3,5,22,23,10,24,77,47,20,6,
LAP 56,1,16,11,55,63,4,31,18,3,5,22,23,24,10,77,47,20,,,,
LAP 57,1,16,11,55,63,4,31,18,3,5,22,24,23,10,77,47,20,,,,
LAP 58,1,16,11,55,63,4,31,18,3,5,22,,,,,,,,
