POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,1,63,10,23,2,77,20,14,44,11,55,27,3,4,31,24,81,18,22
LAP 1,1,16,63,10,23,2,20,31,18,27,11,22,81,4,44,3,24,55,14,77
LAP 2,1,16,63,10,23,2,20,31,18,27,22,81,4,44,3,24,55,11,14,77
LAP 3,1,16,63,10,23,2,31,20,27,18,22,81,44,3,24,55,11,14,77
LAP 4,1,16,63,10,23,2,31,20,27,22,81,44,3,24,18,11,55,14,77
LAP 5,1,16,63,10,23,2,31,20,27,22,81,44,3,24,18,11,55,14,77
LAP 6,1,16,63,10,23,2,20,31,27,22,81,44,3,24,18,11,55,14,77
LAP 7,1,16,63,10,23,2,20,31,27,81,22,44,24,3,18,11,14,55,77
LAP 8,1,16,63,10,23,2,20,31,81,27,44,22,24,3,18,11,14,55,77
LAP 9,1,16,63,10,23,2,31,20,81,27,44,22,24,3,18,11,14,55,77
LAP 10,1,16,63,10,23,2,31,81,20,44,27,24,3,11,18,14,55,77,22
LAP 11,1,16,63,10,23,2,31,81,44,20,24,27,11,3,18,55,14,77,22
LAP 12,1,16,63,10,23,2,31,81,44,20,24,11,18,3,55,14,27,77,22
LAP 13,1,16,63,10,23,2,31,81,44,20,24,11,18,55,14,3,77,27,22
LAP 14,1,16,63,10,23,31,81,44,2,11,24,18,55,14,20,3,77,27,22
LAP 15,1,16,10,63,23,31,81,44,11,18,24,55,14,2,3,77,20,27,22
LAP 16,16,1,10,31,44,11,23,18,81,55,24,14,63,3,77,2,20,27,22
LAP 17,16,31,11,10,18,55,24,14,63,1,44,3,23,77,2,81,20,27,22
LAP 18,16,11,31,18,55,14,24,63,1,10,23,77,81,2,20,27,22,44,3
LAP 19,16,11,31,18,55,14,63,24,1,10,23,81,77,2,20,27,22,44,3
LAP 20,16,11,18,55,31,14,63,1,24,10,23,81,2,77,20,27,22,44,3
LAP 21,16,11,18,55,14,63,1,24,10,23,81,31,2,20,77,27,44,3,22
LAP 22,11,18,16,55,63,14,1,24,10,81,23,31,2,20,27,77,44,3,22
LAP 23,11,18,16,55,63,1,14,24,10,81,23,31,2,20,27,77,44,3,22
LAP 24,11,18,16,63,1,55,14,10,24,81,31,23,2,20,27,44,77,3,22
LAP 25,11,16,18,1,63,55,14,10,81,31,24,23,2,20,27,44,3,77,22
LAP 26,11,16,18,1,63,55,14,10,81,31,23,24,2,20,27,44,3,77,22
LAP 27,16,11,10,81,1,31,18,23,63,55,2,14,24,20,3,27,44,77,22
LAP 28,16,11,10,81,1,31,18,23,63,55,2,14,24,20,3,27,44,77,22
LAP 29,16,11,81,10,1,31,23,18,63,55,14,24,2,20,27,3,44,77,22
LAP 30,16,11,81,10,1,31,23,18,63,55,14,24,2,20,27,44,3,77,22
LAP 31,16,11,81,1,10,31,23,18,63,55,14,24,2,20,44,27,3,77,22
LAP 32,11,16,81,1,10,31,23,18,63,55,14,24,2,20,44,27,3,77,22
LAP 33,11,16,1,81,10,31,23,18,63,55,14,24,2,44,20,27,3,77,22
LAP 34,11,16,1,81,31,10,23,18,63,55,14,24,44,2,20,27,3,77,22
LAP 35,16,11,1,81,31,10,18,23,63,55,14,24,44,2,20,27,3,77,22
LAP 36,16,1,11,81,31,10,18,23,63,55,14,24,44,2,20,27,3,22,77
LAP 37,1,16,11,81,31,10,18,23,63,55,14,44,24,2,20,27,3,22,77
LAP 38,1,16,11,81,31,10,18,23,63,55,14,44,24,2,20,27,3,22,77
LAP 39,1,16,11,81,31,10,18,63,23,55,14,44,24,2,20,27,3,22,77
LAP 40,1,16,11,81,31,10,18,63,55,14,44,23,24,20,2,27,3,22,77
LAP 41,1,16,11,81,31,18,10,63,55,14,44,23,24,20,2,27,3,22,77
LAP 42,1,16,11,81,31,18,10,63,55,14,44,23,24,20,27,2,3,22,77
LAP 43,1,11,16,31,81,18,63,10,55,14,44,23,24,20,27,2,3,22,77
LAP 44,1,11,16,31,18,63,55,14,44,10,81,23,24,20,27,2,3,22,77
LAP 45,1,11,16,31,18,63,55,14,44,10,81,23,24,20,27,3,2,22,77
LAP 46,1,11,16,31,18,63,55,44,14,10,81,23,20,24,3,2,22,77
LAP 47,1,11,16,31,18,63,55,44,14,10,81,23,20,24,3,2,77,
LAP 48,1,11,16,31,63,18,55,44,14,81,10,23,20,24,3,2,77,
LAP 49,1,11,16,31,63,18,55,44,14,81,10,23,20,3,24,2,77,
LAP 50,1,16,11,63,31,18,55,44,14,81,10,23,20,3,24,2,77,
