POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,55,11,31,44,14,63,5,4,3,77,22,24,47,23,20,18,6,10
LAP 1,1,16,11,31,44,14,63,3,22,47,18,20,4,77,6,5,24,10,,
LAP 2,1,16,11,31,44,14,63,3,22,47,18,20,4,77,6,5,24,10,,
LAP 3,1,16,11,31,44,14,63,3,22,47,18,20,4,77,6,5,24,10,,
LAP 4,1,16,11,31,44,14,63,3,22,47,18,20,4,77,6,5,24,10,,
LAP 5,1,16,11,31,44,14,63,3,22,47,18,20,4,77,24,10,6,5,,
LAP 6,1,16,11,31,44,14,63,3,22,47,20,18,4,24,10,77,5,6,,
LAP 7,1,16,11,31,14,44,63,3,47,22,20,24,18,10,5,6,4,77,,
LAP 8,14,47,3,1,16,24,11,31,44,5,6,4,22,63,18,77,20,10,,
LAP 9,1,16,47,11,31,44,24,5,14,6,4,22,63,18,3,20,77,10,,
LAP 10,1,16,11,31,44,47,5,14,6,4,22,63,18,3,20,77,10,24,,
LAP 11,1,16,11,31,44,5,14,6,4,22,63,18,47,3,20,77,10,24,,
LAP 12,1,16,11,31,44,5,14,6,4,22,63,18,3,20,77,10,24,47,,
LAP 13,1,16,11,31,44,5,14,6,4,22,63,18,3,20,77,10,24,47,,
LAP 14,1,16,11,31,44,5,14,6,4,22,63,18,3,20,77,10,24,47,,
LAP 15,1,16,11,31,44,5,14,6,63,4,22,18,3,20,77,10,24,47,,
LAP 16,1,16,11,31,44,5,14,6,63,4,22,18,3,20,77,10,24,47,,
LAP 17,1,16,11,31,44,5,14,6,63,4,22,18,3,20,77,10,24,47,,
LAP 18,1,16,11,31,44,5,14,6,63,4,22,18,3,20,77,10,24,47,,
LAP 19,1,16,11,31,44,5,14,6,63,4,22,18,3,20,77,10,47,24,,
LAP 20,1,16,11,31,44,5,14,63,6,4,22,3,20,77,47,18,24,10,,
LAP 21,1,16,11,31,44,5,14,63,6,4,3,20,77,47,18,22,24,10,,
LAP 22,1,16,11,31,44,5,14,63,6,4,3,20,77,18,47,22,24,10,,
LAP 23,1,16,11,31,44,5,63,6,14,4,3,20,18,77,22,47,24,10,,
LAP 24,1,16,11,31,44,5,63,14,6,4,3,18,20,77,22,24,10,47,,
LAP 25,1,16,11,31,44,5,63,14,6,4,3,18,22,20,77,24,10,47,,
LAP 26,1,16,11,31,44,5,63,14,6,4,3,18,22,20,77,24,10,47,,
LAP 27,1,16,11,31,44,5,63,14,6,4,3,18,22,20,77,24,10,47,,
LAP 28,1,16,11,31,44,5,14,63,6,4,3,18,22,20,77,24,10,47,,
