POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,44,1,4,81,24,16,77,14,11,27,55,31,3,18,10,23,22,63,20,2
LAP 1,1,81,4,44,16,55,14,11,27,18,22,77,20,63,23,24,2,3,31,10
LAP 2,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,31,
LAP 3,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,,
LAP 4,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,,
LAP 5,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,,
LAP 6,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,,
LAP 7,1,81,4,44,16,55,14,11,27,18,22,77,63,20,23,24,2,3,,
LAP 8,1,81,4,44,16,55,11,14,27,18,22,77,63,20,24,2,23,3,,
LAP 9,1,81,4,44,16,55,11,14,27,63,18,22,20,77,24,2,3,23,,
LAP 10,1,81,4,44,16,55,11,14,27,63,20,2,24,3,18,77,23,22,,
LAP 11,1,81,4,44,16,55,11,14,27,63,20,2,3,18,77,23,22,24,,
LAP 12,1,81,4,44,16,55,11,14,27,63,20,2,3,18,77,23,22,24,,
LAP 13,1,81,4,44,16,55,11,14,27,63,20,3,2,18,77,23,22,24,,
LAP 14,1,81,4,44,16,55,11,14,27,63,3,20,18,77,23,22,24,2,,
LAP 15,1,81,4,44,16,11,55,14,27,63,3,18,77,23,22,24,20,2,,
LAP 16,1,81,4,44,16,11,14,63,27,3,55,18,77,23,22,24,20,2,,
LAP 17,1,81,4,16,11,14,63,44,3,55,18,77,23,22,27,24,20,2,,
LAP 18,1,81,11,14,4,63,44,55,3,18,16,77,23,22,27,24,20,2,,
LAP 19,1,11,14,4,81,63,44,55,18,16,77,23,22,27,24,20,2,3,,
LAP 20,1,11,4,14,81,63,44,55,16,18,77,23,22,27,24,20,2,3,,
LAP 21,1,11,4,81,63,44,55,16,18,77,14,23,22,27,24,20,2,3,,
LAP 22,1,11,4,81,63,44,55,16,18,14,77,23,22,27,24,20,2,3,,
LAP 23,1,11,4,81,63,44,55,16,18,14,77,23,22,27,24,20,2,3,,
LAP 24,1,4,11,81,63,44,55,16,18,14,77,23,22,27,24,20,2,3,,
LAP 25,1,4,81,44,63,55,11,16,18,14,77,23,22,27,24,20,2,3,,
LAP 26,1,4,81,44,63,55,11,16,18,14,77,23,22,27,24,20,2,3,,
LAP 27,1,4,81,44,63,11,55,16,18,14,77,23,22,27,24,20,2,3,,
LAP 28,1,4,81,44,11,55,16,63,18,14,77,23,22,27,24,20,2,3,,
LAP 29,1,4,81,44,11,55,16,14,18,77,23,22,27,63,24,20,2,3,,
LAP 30,1,4,81,44,11,55,16,14,18,77,23,22,63,27,24,20,2,3,,
LAP 31,1,4,81,44,11,55,16,14,18,77,63,23,22,27,24,20,2,3,,
LAP 32,1,4,81,44,11,55,16,14,18,77,63,22,27,24,20,2,23,3,,
LAP 33,1,4,81,44,11,55,16,14,18,77,63,22,27,24,20,2,23,3,,
LAP 34,1,4,81,44,11,55,16,14,18,77,63,22,27,24,20,2,23,3,,
LAP 35,1,4,81,44,11,55,16,14,63,77,22,27,24,20,18,23,3,2,,
LAP 36,1,4,81,44,11,55,16,14,63,77,22,27,24,18,20,23,3,2,,
LAP 37,1,4,81,44,11,55,16,14,63,77,22,27,24,18,20,23,3,2,,
LAP 38,1,4,81,44,11,55,16,14,63,77,22,27,18,24,23,20,3,2,,
LAP 39,1,4,81,44,11,55,16,14,63,77,22,18,23,20,3,27,2,24,,
LAP 40,1,4,81,44,11,55,16,14,63,77,22,18,23,3,20,27,2,24,,
LAP 41,1,4,81,44,11,55,16,14,63,22,18,23,77,3,27,2,20,24,,
LAP 42,1,4,81,44,11,55,16,14,63,22,18,23,77,3,27,2,24,20,,
LAP 43,1,4,44,55,81,11,16,63,14,18,22,23,77,3,27,2,24,20,,
LAP 44,1,4,44,81,11,55,63,16,14,18,22,23,77,3,27,2,24,20,,
LAP 45,1,44,4,81,11,63,16,55,14,18,23,77,3,27,2,22,24,20,,
LAP 46,1,44,4,81,11,63,16,55,14,18,23,77,3,27,2,22,24,20,,
LAP 47,1,44,4,11,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 48,1,44,4,11,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 49,1,4,44,11,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 50,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 51,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 52,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 53,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 54,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 55,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 56,1,4,11,81,44,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 57,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 58,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 59,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 60,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 61,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 62,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 63,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 64,1,4,11,44,81,16,55,63,14,18,23,77,3,27,2,22,24,20,,
LAP 65,1,4,11,44,81,16,63,55,14,18,23,77,3,27,2,22,24,20,,
LAP 66,1,4,11,44,81,16,63,55,14,18,23,77,3,27,2,22,24,20,,
LAP 67,1,4,11,44,81,16,63,55,14,18,23,77,3,27,22,24,2,20,,
LAP 68,1,4,11,44,81,16,63,55,14,18,23,77,3,27,22,24,20,,,
LAP 69,1,4,11,44,81,16,63,55,14,18,23,77,3,27,22,24,20,,,
LAP 70,1,4,11,44,81,16,63,55,14,,,,,,,,,,,
