POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,55,11,4,81,63,44,27,22,18,10,31,23,14,77,2,20,24,3
LAP 1,1,16,81,55,11,4,44,27,22,63,18,14,10,31,23,2,20,24,77,3
LAP 2,1,16,81,55,11,4,27,44,22,63,18,10,14,23,31,2,24,77,20,3
LAP 3,1,16,81,55,11,4,27,44,22,63,18,10,14,23,31,2,24,77,20,3
LAP 4,1,81,16,55,11,4,27,44,22,63,18,10,14,23,31,2,24,77,20,3
LAP 5,1,81,16,55,11,4,27,44,63,22,18,10,14,23,31,2,24,77,20,3
LAP 6,1,81,16,55,11,4,27,44,63,22,18,10,14,23,31,2,24,77,20,3
LAP 7,1,81,16,55,11,4,27,44,63,22,18,10,14,23,31,2,24,77,20,3
LAP 8,1,81,16,55,11,4,27,44,63,22,18,10,14,23,31,2,24,77,20,3
LAP 9,1,81,16,55,11,4,27,44,63,22,18,10,14,23,31,2,24,77,20,3
LAP 10,1,81,16,55,11,4,44,27,63,22,18,10,14,31,2,24,77,23,20,3
LAP 11,1,81,16,55,11,4,44,27,63,22,10,14,31,18,24,2,20,3,77,23
LAP 12,1,81,16,55,11,4,44,63,22,31,14,27,24,10,20,3,18,23,2,77
LAP 13,1,81,16,55,11,4,44,63,22,31,14,24,20,3,27,10,18,23,2,77
LAP 14,1,81,16,55,11,4,44,63,22,31,14,24,20,3,27,10,18,23,2,77
LAP 15,1,81,16,55,11,4,44,63,22,31,14,24,20,3,27,10,18,23,2,77
LAP 16,1,81,16,55,11,4,44,63,22,31,14,24,20,3,27,10,18,23,2,77
LAP 17,1,81,16,55,4,11,44,63,22,31,14,24,20,3,27,10,18,23,2,77
LAP 18,1,81,16,55,4,44,63,22,31,11,14,24,20,3,27,10,18,23,2,77
LAP 19,1,81,55,16,4,44,63,22,11,31,14,24,20,3,27,10,18,23,2,77
LAP 20,1,81,55,4,44,16,63,22,11,31,14,24,20,3,27,10,18,23,2,77
LAP 21,1,81,55,4,16,44,63,22,11,31,14,24,20,3,27,10,18,23,2,77
LAP 22,1,81,55,4,16,44,63,22,11,31,24,14,3,20,27,10,18,23,2,77
LAP 23,81,1,55,4,16,44,63,22,11,24,3,27,31,14,10,18,23,2,20,77
LAP 24,81,55,4,1,16,44,11,22,63,24,3,31,27,14,10,18,23,2,20,77
LAP 25,81,55,4,1,16,44,11,22,24,3,31,63,14,27,10,18,23,2,20,77
LAP 26,81,55,4,1,16,11,44,22,24,3,63,31,14,27,10,18,23,2,20,77
LAP 27,4,81,55,1,16,11,22,24,44,63,3,31,14,10,27,18,23,2,20,77
LAP 28,4,1,16,81,55,11,22,44,63,24,31,14,3,10,23,27,18,77,20
LAP 29,4,1,16,81,55,11,22,44,63,31,14,10,23,24,3,27,18,77,20
LAP 30,4,1,16,81,55,11,22,44,63,31,14,10,23,24,3,27,18,77,20
LAP 31,4,1,16,81,55,11,22,44,63,31,14,10,23,24,3,27,18,77,20
LAP 32,4,1,16,81,55,11,22,44,63,31,14,10,23,24,3,27,18,77,20
LAP 33,4,1,16,81,55,11,22,44,63,31,14,10,23,24,3,27,18,77,20
LAP 34,4,1,16,81,55,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 35,4,1,16,81,55,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 36,4,1,16,81,55,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 37,4,1,16,81,55,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 38,4,1,16,81,55,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 39,4,1,16,55,81,11,44,22,63,31,14,10,23,24,27,3,18,77,20
LAP 40,4,1,16,55,11,44,22,63,31,14,81,10,23,27,24,3,18,77,20
LAP 41,4,1,16,55,11,44,22,63,31,14,10,27,23,24,3,18,77,20,81
LAP 42,4,1,16,55,11,44,22,63,31,14,10,27,23,24,3,18,77,20,81
LAP 43,4,1,16,55,11,44,22,63,31,14,10,27,23,24,3,18,77,20,81
LAP 44,4,1,16,55,11,44,22,63,31,14,10,27,23,24,3,18,77,20,81
LAP 45,4,1,16,55,11,44,22,63,31,14,10,27,23,24,18,3,77,20,81
LAP 46,4,1,16,55,11,44,22,63,31,14,27,10,23,24,18,3,77,81,20
LAP 47,4,1,16,55,11,44,22,63,31,14,27,10,23,24,18,3,77,81,20
LAP 48,4,1,16,55,11,44,22,63,14,31,27,10,23,18,24,3,81,77,20
LAP 49,4,1,16,55,11,44,22,63,14,31,27,10,23,18,24,3,81,77,20
LAP 50,4,1,16,55,11,44,22,63,14,31,27,10,23,18,24,3,81,77,20
LAP 51,4,1,16,55,11,44,22,63,14,31,27,10,23,18,24,3,81,77,20
LAP 52,4,1,16,55,11,44,22,63,14,31,27,10,18,24,23,3,81,77,20
LAP 53,4,1,16,55,11,44,22,63,14,31,27,10,18,24,3,81,77,20,23
LAP 54,4,1,16,55,11,44,22,63,14,31,27,10,18,24,81,3,77,20,23
LAP 55,4,1,16,55,11,44,22,63,14,31,27,10,18,24,81,3,77,20,23
LAP 56,4,1,16,55,11,44,22,63,14,31,27,10,18,24,81,3,77,20,23
LAP 57,4,1,16,55,11,44,22,63,14,31,27,10,18,81,24,3,77,20,23
