POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,33,77,55,4,10,44,5,11,99,31,3,18,7,63,22,14,6,9,47
LAP 1,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 2,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 3,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 4,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 5,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 6,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 7,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 8,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 9,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 10,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 11,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 12,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 13,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 14,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 15,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 16,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 17,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 18,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 19,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 20,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 21,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 22,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 23,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 24,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 25,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 26,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 27,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,47,9
LAP 28,33,77,55,4,10,44,5,11,99,31,18,7,3,14,63,6,22,9,47
LAP 29,33,77,55,4,10,,5,11,44,99,31,18,7,3,14,63,6,22,9,47
LAP 30,33,55,5,11,4,10,44,99,31,18,7,3,14,63,6,22,9,47
LAP 31,33,55,11,4,5,10,44,99,31,18,7,3,14,6,22,63,9,47
LAP 32,33,11,55,4,5,10,44,99,31,18,7,3,14,6,22,63,9,47
LAP 33,33,11,55,4,5,10,44,31,18,7,3,99,14,6,22,63,9,47
LAP 34,33,11,55,4,5,10,44,31,18,7,3,99,14,6,22,63,9,47
LAP 35,33,55,4,11,5,10,44,31,18,7,3,99,14,6,22,63,9,47
LAP 36,33,55,4,11,5,10,44,31,18,7,99,14,3,6,22,63,9,47
LAP 37,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 38,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 39,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 40,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 41,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 42,33,55,4,11,5,10,44,18,7,31,99,14,3,6,22,63,9,47
LAP 43,33,55,4,11,5,10,44,18,31,99,7,14,3,22,63,6,9,47
LAP 44,33,55,4,11,5,10,44,18,31,99,14,7,3,22,63,6,9,47
LAP 45,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 46,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 47,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 48,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 49,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 50,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 51,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 52,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 53,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 54,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 55,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 56,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 57,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 58,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 59,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 60,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
LAP 61,33,55,4,11,5,10,44,18,31,99,7,3,14,22,63,6,9,47
