POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,63,44,14,16,81,10,31,77,4,22,55,23,27,2,18,40,20,24,11
LAP 1,1,81,14,16,31,4,10,22,77,27,23,2,18,20,40,24,11,63,,
LAP 2,1,81,14,16,31,4,10,22,77,27,23,2,18,20,40,24,11,63,,
LAP 3,1,81,14,16,31,4,10,22,27,23,2,77,24,11,20,18,40,63,,
LAP 4,1,81,14,16,31,4,10,22,27,23,2,24,11,63,77,20,18,40,,
LAP 5,1,81,14,16,31,4,10,22,27,23,2,24,11,63,77,20,18,40,,
LAP 6,1,81,14,16,31,4,10,27,22,23,2,24,63,11,77,20,18,40,,
LAP 7,1,81,14,16,31,4,10,27,22,23,2,24,63,11,77,20,18,40,,
LAP 8,1,81,14,16,31,4,10,27,22,23,2,63,24,11,77,18,20,40,,
LAP 9,1,81,14,16,31,4,10,27,23,63,2,24,11,22,77,18,20,40,,
LAP 10,1,81,14,16,4,10,31,27,23,63,2,24,11,77,18,20,40,22,,
LAP 11,1,81,16,14,4,27,10,23,63,2,24,11,77,18,20,40,31,22,,
LAP 12,1,81,4,16,27,63,23,2,24,11,77,18,20,40,14,31,10,22,,
LAP 13,1,4,63,23,24,27,11,77,2,18,20,40,81,14,16,31,10,22,,
LAP 14,1,63,23,24,11,77,18,20,81,40,14,16,4,31,10,22,2,27,,
LAP 15,1,23,11,24,77,18,81,20,14,40,16,4,31,10,63,22,2,27,,
LAP 16,1,23,11,24,77,18,81,14,20,16,4,40,31,10,63,22,2,27,,
LAP 17,1,23,11,24,77,81,18,14,16,4,20,31,40,10,63,22,2,27,,
LAP 18,1,23,81,24,77,18,14,16,4,31,20,10,40,63,22,11,2,27,,
LAP 19,1,81,77,14,18,4,16,31,10,63,20,40,22,23,11,2,24,27,,
LAP 20,1,81,14,77,18,4,16,31,10,63,20,40,22,11,23,2,24,27,,
LAP 21,1,81,14,4,16,77,31,10,63,18,11,22,23,20,40,2,24,27,,
LAP 22,1,81,14,4,16,31,10,63,11,23,2,22,24,27,77,18,20,40,,
LAP 23,1,81,14,4,16,31,63,10,11,23,2,24,27,77,18,20,22,40,,
LAP 24,1,81,14,4,16,31,63,10,11,23,2,24,27,77,18,20,22,40,,
LAP 25,1,81,14,4,63,10,16,11,31,23,2,24,27,77,18,20,22,40,,
LAP 26,1,4,14,63,11,10,23,81,24,27,2,77,18,16,31,20,22,40,,
LAP 27,1,4,63,11,23,81,24,14,77,18,27,16,31,10,20,22,40,2,,
LAP 28,1,63,11,23,81,24,4,14,77,18,16,31,10,20,22,40,27,2,,
LAP 29,1,63,11,81,23,24,4,14,77,18,16,31,10,20,22,40,27,2,,
LAP 30,1,63,11,81,23,4,24,14,77,18,16,31,10,20,22,40,27,2,,
LAP 31,1,63,81,11,4,23,24,14,77,16,18,31,10,20,22,40,27,2,,
LAP 32,1,63,81,4,14,24,77,16,18,31,10,11,20,22,23,40,27,2,,
LAP 33,1,81,4,24,63,16,14,77,18,31,10,11,20,22,23,40,27,2,,
LAP 34,1,81,4,24,63,16,14,77,18,31,10,11,20,22,23,40,27,2,,
LAP 35,1,81,4,63,16,14,24,77,18,31,10,11,20,23,22,40,27,2,,
LAP 36,1,81,4,63,16,14,77,31,18,10,11,20,23,22,24,40,27,2,,
LAP 37,1,81,4,63,16,14,77,31,10,18,11,20,23,22,24,40,27,2,,
LAP 38,1,81,4,63,16,14,31,77,10,18,11,20,23,22,24,40,27,2,,
LAP 39,1,81,4,63,16,14,31,10,77,11,18,23,20,24,22,40,2,27,,
LAP 40,1,81,4,63,16,14,31,10,11,23,24,22,77,18,20,40,2,27,,
LAP 41,1,81,4,63,16,14,31,10,11,23,24,77,18,20,22,40,27,,
LAP 42,1,81,4,63,16,14,31,10,11,23,24,77,18,20,22,40,27,,
LAP 43,1,4,81,63,16,14,10,31,11,23,24,77,18,20,22,40,27,,
LAP 44,1,4,63,81,14,10,16,24,23,31,77,18,11,20,22,40,27,,
LAP 45,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 46,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 47,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 48,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 49,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 50,1,63,81,4,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 51,1,81,4,63,16,24,14,31,77,18,10,11,23,20,22,27,40,,
LAP 52,1,81,4,63,16,14,24,31,77,10,18,11,23,20,22,27,40,,
LAP 53,1,81,4,63,16,14,31,77,18,11,10,24,23,20,22,27,40,,
LAP 54,1,81,4,63,16,14,31,77,18,11,10,24,23,20,22,27,40,,,
LAP 55,1,81,4,63,16,14,31,77,18,10,11,24,23,20,22,27,40,,,
LAP 56,1,81,4,63,16,14,31,77,18,10,11,24,23,20,22,27,40,,,
LAP 57,1,81,4,63,16,14,31,77,18,10,11,24,23,,,,,,,
