POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,11,14,81,4,63,44,22,18,38,23,20,3,27,77,31,10,2,24
LAP 1,1,16,11,14,81,4,63,44,18,22,38,20,23,27,3,31,77,2,24,10
LAP 2,1,16,11,81,14,4,63,44,18,22,38,20,23,27,3,31,77,2,24,
LAP 3,1,16,11,81,14,4,63,44,18,22,38,20,23,27,3,31,77,2,24,
LAP 4,1,11,16,81,14,4,63,44,18,22,38,20,23,27,3,31,77,2,24,
LAP 5,1,11,16,81,14,4,63,44,18,22,38,20,23,27,3,31,77,2,24,
LAP 6,1,11,16,81,14,4,63,44,22,38,20,23,27,3,31,77,2,24,,
LAP 7,1,11,16,81,14,4,63,44,22,38,20,23,27,3,31,77,2,24,,
LAP 8,4,1,44,11,16,81,14,27,63,24,22,38,20,23,31,77,2,3,,
LAP 9,4,1,44,11,16,81,14,27,63,24,22,38,20,23,31,77,2,3,,
LAP 10,4,1,44,11,16,81,14,27,63,24,38,22,20,31,23,77,2,3,,
LAP 11,4,1,44,11,16,81,14,27,63,24,38,22,20,31,23,77,2,3,,
LAP 12,4,1,44,11,16,81,14,27,63,24,38,22,20,31,23,77,2,3,,
LAP 13,1,4,11,44,16,81,14,27,63,24,38,22,20,31,23,77,2,3,,
LAP 14,1,4,11,44,16,81,14,63,27,38,24,22,20,31,23,77,2,3,,
LAP 15,1,4,11,16,44,81,14,63,27,38,24,22,20,31,23,77,2,3,,
LAP 16,1,4,11,16,44,81,14,63,27,38,24,22,20,31,23,2,77,3,,
LAP 17,1,4,11,16,44,81,14,63,27,38,24,20,22,31,23,2,77,3,,
LAP 18,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,77,3,,
LAP 19,1,11,4,16,44,81,14,63,27,38,24,20,22,31,23,2,77,3,,
LAP 20,1,11,4,16,44,81,14,63,27,38,24,20,22,31,23,2,77,3,,
LAP 21,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,77,3,,
LAP 22,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,77,3,,
LAP 23,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,77,3,,
LAP 24,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,3,77,,
LAP 25,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,3,77,,
LAP 26,1,11,4,16,44,81,14,63,38,27,24,20,22,31,23,2,3,77,,
LAP 27,1,11,16,4,44,81,14,63,38,27,24,20,22,31,23,2,3,77,,
LAP 28,1,11,16,4,44,81,14,63,38,27,24,20,22,31,23,2,3,77,,
LAP 29,1,11,16,4,44,81,14,63,38,27,24,20,31,22,23,2,3,77,,
LAP 30,1,11,16,4,44,81,14,63,38,27,24,20,31,22,23,2,3,77,,
LAP 31,1,11,16,4,44,81,14,63,38,27,24,20,31,22,23,2,3,77,,
LAP 32,1,11,16,4,44,81,14,63,38,27,24,20,31,22,23,2,3,77,,
LAP 33,1,11,16,4,44,81,14,63,38,27,24,20,31,23,22,2,3,77,,
LAP 34,1,11,16,4,44,81,14,63,38,24,27,20,31,23,22,2,3,77,,
LAP 35,1,11,16,4,44,81,14,63,38,24,27,20,31,23,22,2,3,77,,
LAP 36,1,11,16,4,81,44,14,63,38,24,27,20,31,23,22,2,3,77,,
LAP 37,1,11,16,4,81,14,63,38,44,24,27,20,31,23,22,2,3,77,,
LAP 38,1,11,16,81,14,63,38,4,44,24,27,20,31,23,22,2,3,77,,
LAP 39,1,11,16,81,14,63,38,4,44,24,27,20,31,23,22,2,3,77,,
LAP 40,1,11,16,81,14,63,38,4,44,24,27,20,31,23,22,2,3,77,,
LAP 41,1,11,16,81,14,63,38,4,44,24,27,20,31,23,22,2,3,77,,
LAP 42,1,11,16,81,14,63,38,4,44,27,20,31,23,22,2,3,77,24,,
LAP 43,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 44,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 45,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 46,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 47,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 48,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 49,1,11,16,81,14,63,38,4,44,27,20,23,31,22,2,3,77,24,,
LAP 50,1,11,16,81,14,63,38,4,44,27,20,23,,,,,,,,
